Unnamed: 0,STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Quý,Năm,Trạng thái kiểm toán,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu thuần,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Doanh thu hoạt động tài chính,Chi phí tài chính,Trong đó: Chi phí lãi vay,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý doanh  nghiệp,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận khác,Lãi/ lỗ từ công ty liên doanh (trước 2015),Tổng lợi nhuận kế toán trước thuế,Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Lãi trước thuế,Khấu hao TSCĐ,Tổng lợi nhuận kế toán trước thuế,Lợi nhuận sau thuế thu nhập doanh nghiệp
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2020,Chưa kiểm toán,122651245150.00,120886522630.00,146997282.00,3002310313.00,-225236031.00,-215894445.00,0.00,-8182671805.00,-7866720432.00,-13125320673.00,1129995508.00,0.00,-11995325165.00,27979306.00,-11967345859.00,0.00,-11967345859.00,-1145.00,-11995325165.00,3308823611.00,0.00,0.00
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2021,Chưa kiểm toán,134110305244.00,134110305244.00,7471858946.00,4419482077.00,-207910426.00,-99939316.00,0.00,-6242311631.00,-6424610723.00,-983491757.00,1211072111.00,0.00,227580354.00,-2070343.00,225510011.00,0.00,225510011.00,22.00,227580354.00,3114330669.00,1000000000.00,800000000.00
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2022,Chưa kiểm toán,212007837549.00,212007837549.00,27260932483.00,5286375086.00,-225882888.00,0.00,0.00,-12763496085.00,-7558596102.00,11999332494.00,5876534323.00,0.00,17875866817.00,-976110483.00,16899756334.00,0.00,16899756334.00,1455.00,17875866817.00,3256641665.00,10000000000.00,8000000000.00
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2023,Đã kiểm toán,139259201598.00,136763342398.00,901585272.00,4864230762.00,-114166525.00,0.00,0.00,-3971638521.00,-6001675362.00,-4321664374.00,5119090226.00,0.00,797425852.00,-94274967.00,703150885.00,0.00,703150885.00,40.00,797425852.00,2622589146.00,10000000000.00,8000000000.00
5,4,AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,5,2024,Chưa kiểm toán,153483344374.00,153483344374.00,4359664475.00,3302432549.00,-511785674.00,0.00,0.00,-6104094639.00,-4772225033.00,-3726008322.00,-2577928426.00,0.00,-6303936748.00,-8431916.00,-6312368664.00,0.00,-6312368664.00,-604.00,-6303936748.00,1942401752.00,10000000000.00,8000000000.00
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2020,Chưa kiểm toán,,503367977661.00,11181534853.00,284636274.00,-1694924312.00,-1694924312.00,0.00,0.00,-6473483318.00,3297763497.00,1017175805.00,0.00,4314939302.00,-991840985.00,3323098317.00,0.00,3323098317.00,0.00,4314939302.00,23477333385.00,4805350851.00,3705335143.00
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2021,Chưa kiểm toán,,958499341053.00,488144832377.00,419398628.00,-2490223596.00,-2490223596.00,0.00,0.00,-13767647915.00,472306359494.00,-269006916.00,0.00,472037352578.00,-94340512119.00,377696840459.00,0.00,377696840459.00,7088.00,472037352578.00,23641926722.00,600000000000.00,480000000000.00
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2022,Chưa kiểm toán,,1226588290017.00,430571278765.00,938700528.00,-17115274456.00,-16928636650.00,0.00,0.00,-25817313431.00,388577391406.00,10542277916.00,0.00,399119669322.00,-80211974130.00,318907695192.00,0.00,318907695192.00,3986.00,399119669322.00,1334566187.00,105385061848.00,84603725432.00
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2023,Đã kiểm toán,,656522206728.00,182397667775.00,399650208.00,-50269336627.00,-50269336627.00,0.00,0.00,-28983962616.00,103544018740.00,5736360158.00,0.00,109280378898.00,-22341338677.00,86939040221.00,0.00,86939040221.00,760.00,109280378898.00,2711461303.00,105385061848.00,84603725432.00
5,5,AAS,Chứng khoán SmartInvest,UPCoM,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,5,2024,Chưa kiểm toán,,409538425164.00,247148422547.00,371148474.00,-106480314952.00,-106480314952.00,0.00,0.00,-31236496845.00,109802759224.00,-7276858327.00,0.00,102525900897.00,-22624291964.00,79901608933.00,0.00,79901608933.00,347.00,102525900897.00,5728288758.00,105385061848.00,84603725432.00
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2020,Đã kiểm toán,287098931865.00,287098931865.00,36097218110.00,415189461.00,-10839135730.00,-10545780722.00,0.00,-2568852966.00,-9695885090.00,13408533785.00,5221578396.00,0.00,18630112181.00,-4591644389.00,14038467792.00,0.00,14038467792.00,403.00,,,62500000000.00,50000000000.00
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Thực ,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2021,Đã kiểm toán,473174997084.00,473174997084.00,57941255766.00,1103229507.00,-10628628929.00,-10174216357.00,0.00,-2161163311.00,-13202814249.00,33051878784.00,3646692313.00,0.00,36698571097.00,-7884914838.00,28813656259.00,0.00,28813656259.00,802.00,,,162500000000.00,130000000000.00
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2022,Đã kiểm toán,961625809112.00,961625809112.00,152762877191.00,205584473.00,-21009080819.00,-19228404889.00,0.00,-2492847148.00,-16999024767.00,112467508930.00,-448246212.00,0.00,112019262718.00,-22991126454.00,89028136264.00,0.00,89028136264.00,1395.00,,,62500000000.00,50000000000.00
5,6,AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,5,2023,Đã kiểm toán,599354540320.00,599354540320.00,47121459964.00,2498754473.00,-25588238928.00,-23346940499.00,0.00,-5839595312.00,-11683135646.00,6509244551.00,-6840205948.00,0.00,-330961397.00,-2135614902.00,-2466576299.00,0.00,-2466576299.00,-35.00,,,62500000000.00,50000000000.00
